Store,Address,City,State,Zip,Type,Total Sales,%Sales Dry Grocery,%Sales FrozenFood,%Sales Dairy,%Sales Meat,%Sales Produce,%Sales Floral,%Sales Deli,%Sales Bakery,%Sales General_Merchandise
S0001,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,23508945.82,0.461347256191005,7.71992455083212e-002,0.103083711135117,0.107677407544427,9.71710393775539e-002,6.76943284562813e-003,4.35499280928625e-002,3.55438762077167e-002,6.76581030973681e-002
S0002,12419 Woodside Ave,Lakeside,CA,92040,Existing,17334619.57,0.457527949083223,7.88409295330154e-002,0.106387614827823,0.114903453863337,0.101259398448973,7.43805882092398e-003,3.97924175500092e-002,2.97015275080537e-002,6.41486503646414e-002
S0003,1342 N Alvarado St,Los Angeles,CA,90026,Existing,30240661.99,0.421349090976034,6.90274951881105e-002,0.102356277155029,0.114712737477345,0.125398810093972,9.63139266251227e-003,4.17608010835744e-002,3.6108020398531e-002,7.96553749648918e-002
S0004,671 S Rancho Santa Fe Rd,San Marcos,CA,92078,Existing,27913890.97,0.454559842754878,8.02771438209139e-002,9.71110184142128e-002,0.127727655160358,0.100409215003823,6.11962840234595e-003,4.1785244889491e-002,3.44687102573433e-002,5.75415412966342e-002
S0005,1430 S Fairfax Ave,Los Angeles,CA,90019,Existing,27825886.17,0.44016875132642,8.63385221704154e-002,0.106268088711872,0.101863261521421,0.131112051480084,8.87725043115851e-003,3.53892143446514e-002,2.26068609695603e-002,6.73759990444179e-002
S0006,9643 Mission Gorge Rd,Santee,CA,92071,Existing,34625420.87,0.459835154055703,7.44431349925711e-002,9.86092204573975e-002,0.106915913135008,0.101782028967436,8.26503917669203e-003,4.63088698912904e-002,3.54168899377193e-002,6.84237493861833e-002
S0007,820 Arneill Rd,Camarillo,CA,93010,Existing,30863087.31,0.44208679782917,8.91698520746595e-002,0.1021349578005,0.11513459312441,0.10344684308253,7.8383337859274e-003,4.62976589363121e-002,3.0176372202992e-002,6.37145911634982e-002
S0008,3461 W 3rd St,Los Angeles,CA,90020,Existing,29181879.77,0.428456854340607,8.03214638150091e-002,0.108732133262435,0.106877729076464,0.123696355013802,7.85879599969306e-003,3.26226575362249e-002,2.23977415146482e-002,8.90362694411168e-002
S0009,4033 W Avenue L,Lancaster,CA,93536,Existing,40678620.31,0.442252268953612,7.70513630038108e-002,0.100376118680609,0.118908012197526,0.103507489386628,7.28825603574164e-003,4.42039365223496e-002,2.57563410955321e-002,8.06562141241903e-002
S0010,1040 Coast Village Rd,Montecito,CA,93108,Existing,21703928.12,0.431445351653699,8.03417423039273e-002,0.114961550563779,0.1071483008579,0.121628835822001,1.03830223153172e-002,3.70989502705744e-002,3.80513668048399e-002,5.89408794079622e-002
