RecordID,Country Name,Edu PC1,Edu PC2,Edu PC3,Econ PC1,Econ PC2,Econ PC3,Env PC1,Env PC2,Edu Ave_PC1,Edu Ave_PC2,Edu Ave_PC3
1,Afghanistan,0.947712382451796,-4.43356238551355,-1.07886392136682,-1.76716274444931,0.235712965675798,-1.17199540613865,-2.01720297533204,0.253448682399892,-8.96566338700402,-1.26787061377732,-0.145821397276799
2,Albania,-4.59236065303547e-002,3.0259115766218,-2.81059129004817,0.280402585807932,-0.70053950071287,-0.279303390395723,1.08661039992749,-0.155513324837759,2.79208163443313,0.456686498417477,0.521413661871734
3,United Arab Emirates,0.940513707124848,1.56145043581558,1.24550077305422,1.37458937192752,1.69832368189719,2.4386158973442,1.03218929489312,-0.209934429872135,1.21486026571174,1.03999245894505,8.32404511943751e-002
4,Argentina,1.62486801933333,1.46566786410376,0.794501619477243,-1.4389674244404,-3.2269285764072,-1.26120728340086,0.614072790767462,0.307568665487106,2.77086317761177,-0.770103947948308,-0.66411172938596
5,Armenia,-2.01498717098581,5.45374896501178,-2.74505516876387,0.197519502584467,-0.363314621353231,0.111334762771124,0.683229494760352,0.247867580329382,4.79006828274504,-1.22875288136158,-0.355461674775108
6,Australia,-7.3309233735135,-0.281150416526217,-1.52356554895191,2.1624098224719,5.07286707314253e-002,0.609547028113551,1.08661039992749,-0.155513324837759,6.07105769832387,-0.6644108483594,-1.06002737572746
7,Austria,-4.12323011019189,-2.1362819139818,1.05915993949919,1.98939388757939,0.138763678282368,-0.185628701039914,1.08661039992749,-0.155513324837759,2.67429099121506,-1.39441678297092,1.26531123471112
8,Burundi,2.82467050807638,-2.44250515200705,-0.948059115029136,-1.92187205758311,0.854970109404273,0.435325360845197,-2.74556789231842,-0.743836838031248,-8.60105309436434,-1.31904139925729,-0.552018299713402
9,Belgium,-7.14334056499831,0.156884228993272,-2.67545127717511,1.86067583736655,-0.417663084186664,-0.483103790740297,1.08661039992749,-0.155513324837759,4.77266135490866,-0.506682862092341,0.582316985607007
10,Benin,1.85829643741112e-002,-3.01005832914536,-0.111467803243849,-1.79671726321285,0.423922838293267,0.285794697337823,-2.09232751650583,0.111093990364905,-7.73657824168721,-0.346426200599773,-0.936269138674419
11,Bangladesh,1.71381665909006,-1.69247936596401,-0.363753020072583,-3.13268573955207,-0.991553034989968,1.44220397133147,-1.41189931594561,0.432961386332116,-4.33995496078256,0.930124448319461,-1.60198598991091
12,Bulgaria,0.233110305560384,2.34728373385386,-2.06198110569453,1.36936609742941,-0.868844755756482,-0.26233194435406,1.08661039992749,-0.155513324837759,5.50560076265487,-2.04856400545233,-0.357624815895762
13,Bahrain,0.571363351243456,2.0321499149682,0.818696030867386,0.17464845378325,1.90569017752615,1.37437418929057,1.03218929489312,-0.209934429872135,-2.66653152008131,1.25022557597498,9.40623674598355e-002
14,Belize,0.916608985257358,0.985680980399716,1.21331885415116,0.314792906815097,1.0319474607342,-0.562032213977807,0.784074721052137,0.147022354037597,6.05054389782687,-1.52979752935173,-1.42914457351568
15,Bolivia,1.1463942955957,0.834066327452909,-0.30552558488542,-1.03583891716232,-1.03607999986434,-0.966352889843604,-0.356507031766735,0.838462212186154,-1.04154571665363,1.01120548925349,0.435118826630679
16,Brazil,1.65473862322513,0.878185072853836,0.453757193269832,-0.289583154444829,-1.24539668513961,0.141623259171481,0.450110724631645,0.457347303370176,-0.745792609998214,0.356691369787655,0.724317343484431
17,Barbados,-4.27839703845498,-2.42817587612089,2.22906683282261,1.16477662141633,-0.451607033198311,-0.557399463547988,0.870914496431021,-0.37120922833423,2.93889299165542,-0.651319900150755,-1.38093792515307
18,Brunei Darussalam,2.93526992693851,-1.32891268341849,-0.558031483707037,1.13631663664441,2.06087190579574,1.17677670616913,0.523088139236671,-0.719035585528581,0.390374350640342,1.55238838792202e-002,0.636846155744296
19,Botswana,2.59434541126824,-1.2934833756132,-0.410600751249453,-0.187188737765333,0.665502935379432,-1.21180095838784,-1.67709516314592,0.3974685545742,0.82709294205109,2.06210785589108,6.39148758498381e-002
20,Central African Republic,-0.323791595134145,-3.85475943831167,-0.359601150680679,-3.92739576442639,-0.94641760122861,0.344892793016134,-3.63556471504295,0.349455789649323,-8.0834486572236,-1.61706382149417,0.760629396748895
21,Canada,-6.01108789117162,-2.12286998389864,3.47730491560451,3.00562873168649,0.295934205080382,1.07212657493776,1.08661039992749,-0.155513324837759,7.53700452669387,-0.692402992405773,-0.1610515025673
22,Switzerland,-5.97032007352436,-1.50130108033115,2.67201907905602,2.32476978369322,0.969089060658459,0.583827339199772,1.08661039992749,-0.155513324837759,8.29332130159363,-2.18142005793689,-0.299148273787045
23,Chile,1.02645112672278,1.6815268776322,-0.245642202458887,1.44618561701104,-0.251030488501468,-1.79285328616978e-002,0.825041715362865,8.71441220565393e-002,3.0436700450227,8.03581301208059e-002,0.259142776427454
24,China,1.68300734650552,1.43035153657508,0.43969408790928,-2.41691326055901,-6.70429799368929,5.64954123704812,0.380693815884996,0.550403259204737,-1.20912179097266,0.826530187438297,-0.442720550737011
25,"Cote d'Ivoire",0.479123915725559,-3.90125781161909,-0.597983247878374,-0.943416469669534,0.76752264620958,0.368105181684924,-1.52693900145262,0.368344313971,-7.05183714953338,-0.643319826946262,0.485444031201691
26,Cameroon,2.50808434783132,-2.80603249030099,-1.12101288507852,-2.33427542953211,0.23116862748416,0.422711281958766,-1.06675235630654,-0.191126328944305,-4.43536979252144,5.67346407398573e-002,1.02411224749617
